SR_ref_no,SR_date,category hierarchy,assigned_account,machine_model,serial_number,component_serial_number,commission_date,complaint_category,make,Name,type_of_activity,defect_no,problem_reported,problem_summary,sub_assembly,failure_mode,cause,corrective_action,problem,product_category
SRV-2024-0068,2024-04-19,Mechanical/Critical,ACC-PREC-003,LT-4100,SN-LT4100-94789,CSN-CS2134,2022-10-02,Performance,Precision Equipment Ltd,Apex Fabrication,Emergency Repair,DEF-0083,Carriage movement becoming extremely rough,Poor surface finish on machined parts,Way System,Movement Resistance,Chips embedded in way surfaces,Cleaned way surfaces and repaired chip guards,Way Surface Problem,CNC Lathe
SRV-2024-0069,2024-04-26,Cooling/Critical,ACC-GLOB-004,LT-3850,SN-LT3850-27234,CSN-CF3490,2022-02-05,Cooling,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0117,Coolant flow suddenly stopping during operation,Complete loss of cutting fluid during machining,Coolant System,Flow Interruption,Coolant pump impeller sheared from shaft,Installed new pump and impeller assembly,Coolant System Failure,Heavy Duty Lathe
SRV-2024-0070,2024-05-03,Mechanical/Medium,ACC-TECH-005,LT-5000,SN-LT5000-16902,CSN-GS5432,2022-08-16,Mechanical,TechnoMachine Systems,Precision Parts Ltd,Scheduled Repair,DEF-0109,Gear teeth chipping in main drive,Noise and vibration increasing during operation,Gearbox Assembly,Component Damage,Insufficient case hardening on gear teeth,Replaced gears with proper hardened specification,Gearbox Problem,CNC Lathe
SRV-2024-0071,2024-05-10,Electrical/High,ACC-INDUS-001,LT-3500,SN-LT3500-83123,CSN-PW6754,2021-11-22,Electrical,Industrial Lathes Inc.,Johnson Manufacturing,Emergency Repair,DEF-0144,Phase imbalance in electrical supply,Machine tripping on phase protection,Power System,Phase Imbalance,Loose connection in main power feed,Tightened all power connections and balanced loads,Power Supply Failure,CNC Lathe
SRV-2024-0072,2024-05-17,Software/Low,ACC-META-002,LT-2800,SN-LT2800-60789,CSN-IO8765,2022-04-23,Software,MetalCraft Tools,Superior Tooling,Software Update,DEF-0149,I/O mapping configuration lost after update,External devices not responding correctly,Control System,Configuration Loss,Software update overwrote custom I/O maps,Restored I/O configuration from backup files,Software Issue,CNC Lathe
SRV-2024-0073,2024-05-24,Mechanical/High,ACC-PREC-003,LT-4100,SN-LT4100-95123,CSN-TB1098,2022-07-08,Mechanical,Precision Equipment Ltd,Apex Fabrication,Emergency Repair,DEF-0082,Taper attachment guide bar binding,Inconsistent taper angles being produced,Taper Attachment,Movement Restriction,Guide bar misalignment causing binding,Realigned taper guide system and adjusted clearances,Taper System Problem,CNC Lathe
SRV-2024-0074,2024-05-31,Hydraulic/Critical,ACC-GLOB-004,LT-3850,SN-LT3850-27567,CSN-HP7654,2022-01-13,Hydraulic,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0131,Hydraulic pump making excessive noise,System pressure pulsating during operation,Hydraulic System,Pump Noise,Pump cavitation due to insufficient inlet flow,Modified inlet line and replaced pump elements,Hydraulic System Issue,Heavy Duty Lathe
SRV-2024-0075,2024-06-07,Mechanical/Medium,ACC-TECH-005,LT-5000,SN-LT5000-17234,CSN-BA9876,2022-10-28,Mechanical,TechnoMachine Systems,Precision Parts Ltd,Scheduled Repair,DEF-0110,Ball screw showing excessive axial play,Position accuracy deteriorating over time,Ball Screw Assembly,Excessive Clearance,Ball nut preload loss due to wear,Replaced ball nut and restored proper preload,Ball Screw Problem,CNC Lathe
SRV-2024-0076,2024-06-14,Electrical/Critical,ACC-INDUS-001,LT-3500,SN-LT3500-83456,CSN-EC5432,2022-06-15,Electrical,Industrial Lathes Inc.,Johnson Manufacturing,Emergency Repair,DEF-0145,Encoder reading jumping erratically,Position readings changing unpredictably,Feedback System,Reading Instability,Encoder disk microfracture causing errors,Replaced encoder disk and recalibrated system,Encoder Failure,CNC Lathe
SRV-2024-0077,2024-06-21,Software/Medium,ACC-META-002,LT-2800,SN-LT2800-61123,CSN-TC7689,2021-10-19,Software,MetalCraft Tools,Superior Tooling,Software Update,DEF-0156,Tool change sequence timing out,Tool changes failing to complete properly,Control System,Sequence Timeout,Logic error in tool change sequence,Updated tool change logic and timing parameters,Software Bug,CNC Lathe
SRV-2024-0078,2024-06-28,Mechanical/High,ACC-PREC-003,LT-4100,SN-LT4100-95456,CSN-CA3421,2022-03-11,Mechanical,Precision Equipment Ltd,Apex Fabrication,Emergency Repair,DEF-0081,Chuck air distribution system leaking,Air pressure loss affecting chuck performance,Chuck Assembly,Air Leakage,Rotary union seal failure causing leaks,Replaced rotary union and resealed connections,Chuck Malfunction,CNC Lathe
SRV-2024-0079,2024-07-05,Cooling/High,ACC-GLOB-004,LT-3850,SN-LT3850-27891,CSN-CP2198,2022-12-26,Cooling,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0116,Coolant nozzle positioning mechanism broken,Coolant stream not directed at cutting zone,Coolant System,Mechanism Failure,Nozzle joint wear causing positioning drift,Installed articulated nozzle system with locks,Coolant System Failure,Heavy Duty Lathe
SRV-2024-0080,2024-07-12,Mechanical/Critical,ACC-TECH-005,LT-5000,SN-LT5000-17567,CSN-TS4567,2022-02-28,Performance,TechnoMachine Systems,Precision Parts Ltd,Emergency Repair,DEF-0111,Tool turret disk damaged from collision,Tool positions no longer accurate,Turret Assembly,Component Damage,Operator error causing machine collision,Rebuilt turret disk and implemented safety checks,Turret Malfunction,CNC Lathe
SRV-2024-0081,2024-07-19,Electrical/Medium,ACC-INDUS-001,LT-3500,SN-LT3500-83789,CSN-SP6543,2022-09-04,Electrical,Industrial Lathes Inc.,Johnson Manufacturing,Scheduled Repair,DEF-0146,Servo driver current limiting activated,Reduced axis acceleration and performance,Servo System,Current Limitation,Servo driver heat sink clogged with dust,Cleaned cooling system and adjusted current limits,Servo Motor Issue,CNC Lathe
SRV-2024-0082,2024-07-26,Software/Low,ACC-META-002,LT-2800,SN-LT2800-61456,CSN-MM3217,2022-05-17,Software,MetalCraft Tools,Superior Tooling,Software Update,DEF-0157,Machine coordinates offset from workpiece,Dimensional errors in finished parts,Control System,Coordinate Error,Reference position drift after power cycles,Updated coordinate system management software,Software Bug,CNC Lathe
SRV-2024-0083,2024-08-02,Mechanical/Medium,ACC-PREC-003,LT-4100,SN-LT4100-95789,CSN-WS8765,2021-08-30,Mechanical,Precision Equipment Ltd,Apex Fabrication,Scheduled Repair,DEF-0098,Way scraper failure allowing debris accumulation,Slide movement becoming rough and inconsistent,Way System,Scraper Failure,Hardened chips damaging way scrapers,Replaced way scrapers and cleaned surfaces,Way Surface Problem,CNC Lathe
SRV-2024-0084,2024-08-09,Hydraulic/High,ACC-GLOB-004,LT-3850,SN-LT3850-28234,CSN-HP1234,2022-11-18,Hydraulic,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0132,Hydraulic system overheating during operation,Performance degradation during extended use,Hydraulic System,Temperature Elevation,Insufficient cooling capacity for system demands,Installed additional oil cooler and temperature controls,Hydraulic System Issue,Heavy Duty Lathe
SRV-2024-0085,2024-08-16,Mechanical/Medium,ACC-TECH-005,LT-5000,SN-LT5000-17891,CSN-SB5678,2022-04-01,Mechanical,TechnoMachine Systems,Precision Parts Ltd,Scheduled Repair,DEF-0112,Spindle drawbar spring tension reduced,Tool holder pulling force diminished,Spindle Assembly,Tension Loss,Spring fatigue from extended use,Replaced drawbar springs and adjusted tension,Spindle Malfunction,CNC Lathe
SRV-2024-0086,2024-08-23,Electrical/Critical,ACC-INDUS-001,LT-3500,SN-LT3500-84123,CSN-DP4321,2022-07-31,Electrical,Industrial Lathes Inc.,Johnson Manufacturing,Emergency Repair,DEF-0147,Drive protection circuit activating spuriously,Random machine shutdowns during operation,Drive System,Protection Activation,Noise on feedback signal triggering protection,Installed signal filters and shielded cables,Drive Failure,CNC Lathe
SRV-2024-0087,2024-08-30,Safety/High,ACC-META-002,LT-2800,SN-LT2800-61789,CSN-SE9087,2022-01-24,Safety,MetalCraft Tools,Superior Tooling,Emergency Repair,DEF-0160,Safety limit switches not triggering,Axis overtravel possible during operation,Safety System,Switch Failure,Limit switch contacts worn and oxidized,Replaced limit switches and adjusted positions,Safety System Failure,CNC Lathe
SRV-2024-0088,2024-09-06,Mechanical/High,ACC-PREC-003,LT-4100,SN-LT4100-96123,CSN-TB7680,2022-06-22,Mechanical,Precision Equipment Ltd,Apex Fabrication,Emergency Repair,DEF-0080,Tailstock quill not retracting fully,Tailstock operations becoming difficult,Tailstock Assembly,Movement Restriction,Return spring broken inside tailstock,Replaced return spring mechanism,Tailstock Failure,CNC Lathe
SRV-2024-0089,2024-09-13,Cooling/Critical,ACC-GLOB-004,LT-3850,SN-LT3850-28567,CSN-CF1287,2022-08-01,Cooling,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0115,Coolant tank developing major leak,Coolant loss causing dry cutting conditions,Coolant System,Reservoir Leak,Tank corrosion from improper coolant mixture,Replaced coolant tank and used correct mixture,Coolant System Failure,Heavy Duty Lathe
SRV-2024-0090,2024-09-20,Mechanical/Critical,ACC-TECH-005,LT-5000,SN-LT5000-18234,CSN-TS6789,2021-12-09,Performance,TechnoMachine Systems,Precision Parts Ltd,Emergency Repair,DEF-0113,Tool turret indexing extremely slow,Production delays during tool changes,Turret Assembly,Indexing Speed,Turret motor driver current set too low,Reconfigured driver settings and lubricated mechanism,Turret Malfunction,CNC Lathe
SRV-2024-0091,2024-09-27,Electrical/Medium,ACC-INDUS-001,LT-3500,SN-LT3500-84456,CSN-EC2345,2022-05-06,Electrical,Industrial Lathes Inc.,Johnson Manufacturing,Scheduled Repair,DEF-0148,Electrical cabinet overheating in summer,Control components shutting down from heat,Control System,Temperature Elevation,Cabinet cooling fan filter clogged,Cleaned filters and added auxiliary cooling,Control System Failure,CNC Lathe
SRV-2024-0092,2024-10-04,Software/Medium,ACC-META-002,LT-2800,SN-LT2800-62123,CSN-PG5432,2022-09-29,Software,MetalCraft Tools,Superior Tooling,Software Update,DEF-0158,G-code interpreter misreading certain commands,Unexpected machine movements during program,Control System,Command Interpretation,Software bug in specific G-code parsing,Updated control software with parsing fix,Software Bug,CNC Lathe
SRV-2024-0093,2024-10-11,Mechanical/High,ACC-PREC-003,LT-4100,SN-LT4100-96456,CSN-CS7654,2022-02-17,Mechanical,Precision Equipment Ltd,Apex Fabrication,Emergency Repair,DEF-0079,Chuck through-hole becoming restricted,Workpiece loading difficulties for bar work,Chuck Assembly,Passage Restriction,Material buildup in chuck through-hole,Disassembled chuck and cleaned all passages,Chuck Malfunction,CNC Lathe
SRV-2024-0094,2024-10-18,Hydraulic/Critical,ACC-GLOB-004,LT-3850,SN-LT3850-28901,CSN-HP8976,2022-10-07,Hydraulic,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0133,Hydraulic system hunting during pressure hold,Clamping pressure fluctuating during operation,Hydraulic System,Pressure Instability,Proportional valve spool sticking,Replaced proportional valve and flushed system,Hydraulic System Issue,Heavy Duty Lathe
SRV-2024-0095,2024-10-25,Mechanical/Medium,ACC-TECH-005,LT-5000,SN-LT5000-18567,CSN-FS4321,2022-03-14,Mechanical,TechnoMachine Systems,Precision Parts Ltd,Scheduled Repair,DEF-0114,Feed rate override mechanism sticking,Unable to adjust feed during operation,Feed System,Mechanism Sticking,Feed override potentiometer contaminated with oil,Cleaned control panel and replaced potentiometer,Feed System Problem,CNC Lathe
SRV-2024-0096,2024-11-01,Electrical/High,ACC-INDUS-001,LT-3500,SN-LT3500-84789,CSN-MC9876,2022-12-12,Electrical,Industrial Lathes Inc.,Johnson Manufacturing,Emergency Repair,DEF-0149,Motor cooling fan failed completely,Motor overheating during continuous operation,Motor Control,Cooling Failure,Fan bearing seizure from dust buildup,Replaced motor cooling fan and cleaned enclosure,Motor Control Failure,CNC Lathe
SRV-2024-0097,2024-11-08,Software/Low,ACC-META-002,LT-2800,SN-LT2800-62456,CSN-UI3456,2022-01-28,Software,MetalCraft Tools,Superior Tooling,Software Update,DEF-0159,User interface showing incorrect tool offsets,Tool offset display not matching actual values,User Interface,Display Error,Data conversion error in display routine,Updated interface software with correct conversion,Software Bug,CNC Lathe
SRV-2024-0098,2024-11-15,Mechanical/Critical,ACC-PREC-003,LT-4100,SN-LT4100-96789,CSN-KB2143,2022-08-26,Performance,Precision Equipment Ltd,Apex Fabrication,Emergency Repair,DEF-0078,Key broken in spindle drive shaft,Complete loss of spindle power transmission,Drive Train,Component Failure,Material fatigue from excessive torque loads,Replaced key and shaft with upgraded material,Power Transmission Issue,CNC Lathe
SRV-2024-0099,2024-11-22,Cooling/High,ACC-GLOB-004,LT-3850,SN-LT3850-29234,CSN-CF6543,2022-04-30,Cooling,Global Machinery Corp,Eastside Machining,Emergency Repair,DEF-0124,Coolant pump cavitating during operation,Erratic coolant flow causing poor cooling,Coolant System,Pump Cavitation,Pump inlet screen partially blocked,Cleaned inlet screen and modified piping layout,Coolant System Failure,Heavy Duty Lathe
SRV-2024-0100,2024-11-29,Mechanical/High,ACC-TECH-005,LT-5000,SN-LT5000-18901,CSN-SB5432,2022-07-14,Mechanical,TechnoMachine Systems,Precision Parts Ltd,Emergency Repair,DEF-0115,Spindle belts slipping under load,Power transmission losses during heavy cutting,Spindle Drive,Belt Slippage,Belt tension inadequate for cutting forces,Adjusted belt tension and aligned pulleys properly,Spindle Drive Problem,CNC Lathe
